Index,Repository Name,Project Type,Automation Files,Stars,Forks,Project Size (KB),Commits (30 days),Open PRs (30 days),Closed PRs (30 days),Open Issues (30 days),Closed Issues (30 days),Rejection Rate (%),Avg. Merge Time (hours),Avg. Resolution Time (hours),Automation Group,Bot PR Closure Rate (%),Bot Issue Closure Rate (%),Bot Activity Score
43,open-telemetry/opentelemetry-java,Open Source,18,2086,858,23220,30,14,86,15,5,4.0,65.3096849593496,93.62827073552424,High Automation,40,50,45.3
44,microsoft/TypeScript,Open Source,18,101939,12625,2821995,30,40,60,35,45,16.0,203.65308080808083,41.52592105263158,High Automation,40,50,49.5
45,neuralmagic/sparseml,Open Source,17,2096,149,273260,0,17,83,6,7,7.000000000000001,90.65225146198831,151.43399437412097,High Automation,40,50,44.0
46,tensorflow/tensorflow,Open Source,17,187456,74441,1125831,30,68,32,0,0,1.0,2.599632616487456,2.7276909722222222,High Automation,40,0,26.6
47,apache/kafka,Open Source,17,29328,14128,228648,30,53,47,0,0,8.0,39.55163105413105,40.69627659574468,High Automation,40,0,31.1
48,scipy/scipy,Mixed,16,13324,5239,175186,30,22,78,19,24,4.0,35.591321321321324,30.83357638888889,High Automation,40,50,46.599999999999994
49,matplotlib/matplotlib,Mixed,16,20629,7718,458715,30,21,79,19,15,7.000000000000001,45.10672839506173,50.02106770833333,High Automation,40,50,44.2
50,fastapi/fastapi,Open Source,16,80256,6866,25468,30,22,78,2,1,17.0,123.24785974499088,98.65243867243866,High Automation,40,50,39.7
51,open-telemetry/opentelemetry-ruby-contrib,Open Source,16,91,181,12127,29,15,85,4,6,48.0,174.9111861861862,113.6501989026063,High Automation,40,50,43.3
52,scikit-learn/scikit-learn,Mixed,16,60887,25537,166878,30,26,74,13,16,18.0,43.180416666666666,55.03703703703703,High Automation,40,50,43.0
53,open-telemetry/opentelemetry-dotnet,Open Source,16,3332,786,16517,29,15,85,12,11,11.0,52.2374024024024,115.21677701674275,High Automation,40,50,44.8
54,open-telemetry/opentelemetry-python,Open Source,16,1872,661,24817,5,22,78,40,10,16.0,107.12698924731184,156.57505681818182,High Automation,40,50,42.4
55,hashicorp/nomad,Mixed,15,15144,1969,563106,30,27,73,13,2,7.000000000000001,18.509970538720538,23.91594982078853,High Automation,40,50,37.5
56,open-telemetry/opentelemetry-dotnet-instrumentation,Open Source,15,381,99,69552,30,2,98,5,3,20.0,42.38179843304843,66.09702807646356,High Automation,40,50,45.3
57,hashicorp/packer,Mixed,14,15205,3332,112032,24,5,95,16,14,34.0,205.77619307832424,238.49599859353023,High Automation,40,50,46.699999999999996
58,open-telemetry/opentelemetry-js-contrib,Open Source,14,742,545,46340,30,30,70,14,9,13.0,108.61753898635476,118.8913418079096,High Automation,40,50,37.7
59,open-telemetry/opentelemetry-node,Open Source,13,2817,837,54244,30,31,69,20,5,9.0,111.24355555555556,110.66100823045268,High Automation,40,50,35.2
60,networkx/networkx,Mixed,13,15328,3287,94451,21,22,78,7,19,22.0,237.2330208333333,183.45027402402405,High Automation,40,50,42.099999999999994
61,jupyter/notebook,Mixed,13,11957,5087,41181,5,6,94,25,24,26.0,96.05137254901962,75.73047839506174,High Automation,40,50,48.4
62,open-telemetry/opentelemetry-js,Open Source,13,2817,837,54244,30,31,69,20,5,9.0,111.24355555555556,110.66100823045268,High Automation,40,50,35.2
63,astropy/astropy,Mixed,13,4556,1809,170127,30,26,74,19,11,14.000000000000002,68.34748611111111,47.34699908925319,High Automation,40,50,38.5
64,angular/angular,Open Source,13,96732,25794,521854,30,37,63,17,13,57.99999999999999,0.0136111111111111,24.37338477366255,High Automation,40,50,35.8
65,twbs/bootstrap,Open Source,13,171258,78981,248590,4,23,77,20,32,55.00000000000001,209.0429545454545,68.14102733686067,High Automation,40,50,45.699999999999996
66,open-telemetry/opentelemetry-cpp-contrib,Open Source,12,130,148,1228,7,10,90,23,12,12.0,90.86021723646724,128.47883169934642,High Automation,40,50,42.599999999999994
67,django/django,Mixed,12,82072,32151,265124,30,42,58,0,0,17.0,43.29941734417344,31.80949233716475,High Automation,40,0,29.4
68,pandas-dev/pandas,Mixed,12,44416,18166,365098,30,23,77,17,8,4.0,33.68239726027397,32.99736752136752,High Automation,40,50,37.5
69,ansible/awx,Mixed,12,14266,3456,347155,30,23,77,24,2,10.0,134.0026575456053,117.99439814814814,High Automation,40,50,35.7
70,prometheus/prometheus,Open Source,11,56974,9319,251432,30,22,78,15,7,14.000000000000002,122.84470486111113,75.14091750841752,High Automation,40,50,36.5
71,hashicorp/terraform,Mixed,11,43979,9642,334139,30,13,87,9,19,11.0,29.450577485380123,26.334072916666667,High Automation,40,50,42.8
72,open-telemetry/opentelemetry-ruby,Open Source,11,500,250,12367,4,12,88,25,14,25.0,436.7459082892416,622.3467404513889,High Automation,40,50,41.599999999999994
73,dask/dask,Mixed,11,12883,1732,122604,30,9,91,18,14,9.0,75.21489837398374,49.067151851851854,High Automation,40,50,42.5
74,open-telemetry/opentelemetry-demo,Open Source,11,1993,1342,44473,25,13,87,9,2,49.0,78.11024853801169,82.2469943019943,High Automation,40,50,37.7
